pid,mountainRange,site,bodyLength,test,score
2c98c3d0-6f27-4e71-b717-b67b6c0c2989,Bavarian,a,165.5485196,test_1,83.9039926287037
2c98c3d0-6f27-4e71-b717-b67b6c0c2989,Bavarian,a,165.5485196,test_2,133.5986611425137
2c98c3d0-6f27-4e71-b717-b67b6c0c2989,Bavarian,a,165.5485196,test_3,20.42251608039257
2c98c3d0-6f27-4e71-b717-b67b6c0c2989,Bavarian,a,165.5485196,test_4,1
66bff560-fdc3-48cc-a9a5-99452b000d11,Bavarian,a,167.5593135,test_1,85.81721951983768
66bff560-fdc3-48cc-a9a5-99452b000d11,Bavarian,a,167.5593135,test_2,33.10414805173637
66bff560-fdc3-48cc-a9a5-99452b000d11,Bavarian,a,167.5593135,test_3,164.58497726858135
66bff560-fdc3-48cc-a9a5-99452b000d11,Bavarian,a,167.5593135,test_4,0
75be5f72-097e-42ee-863a-ab968991d72f,Bavarian,a,165.8829517,test_1,84.1638649092577
75be5f72-097e-42ee-863a-ab968991d72f,Bavarian,a,165.8829517,test_2,20.9811618176062
75be5f72-097e-42ee-863a-ab968991d72f,Bavarian,a,165.8829517,test_3,186.85917578678448
75be5f72-097e-42ee-863a-ab968991d72f,Bavarian,a,165.8829517,test_4,0
64ccd831-70c6-43bc-9d00-30be23772614,Bavarian,a,167.6855249,test_1,84.92380348594087
64ccd831-70c6-43bc-9d00-30be23772614,Bavarian,a,167.6855249,test_2,31.177267256081464
64ccd831-70c6-43bc-9d00-30be23772614,Bavarian,a,167.6855249,test_3,168.69010415147093
64ccd831-70c6-43bc-9d00-30be23772614,Bavarian,a,167.6855249,test_4,0
56fd0730-5cde-4717-b045-13b9f6f9f036,Bavarian,a,169.9596807,test_1,86.36894319149461
56fd0730-5cde-4717-b045-13b9f6f9f036,Bavarian,a,169.9596807,test_2,106.57027455069064
56fd0730-5cde-4717-b045-13b9f6f9f036,Bavarian,a,169.9596807,test_3,49.2476802084051
56fd0730-5cde-4717-b045-13b9f6f9f036,Bavarian,a,169.9596807,test_4,1
c8e97ce4-86fd-470d-a27d-e61c70b541d7,Bavarian,a,168.6887472,test_1,85.13763833991386
c8e97ce4-86fd-470d-a27d-e61c70b541d7,Bavarian,a,168.6887472,test_2,142.04621825389927
c8e97ce4-86fd-470d-a27d-e61c70b541d7,Bavarian,a,168.6887472,test_3,0.3411278949058415
c8e97ce4-86fd-470d-a27d-e61c70b541d7,Bavarian,a,168.6887472,test_4,1
8aa4a099-4b00-424d-ad7c-f495733e8c94,Bavarian,a,169.6193817,test_1,86.75944606008018
8aa4a099-4b00-424d-ad7c-f495733e8c94,Bavarian,a,169.6193817,test_2,137.1522202910222
